"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"N 22E";"NRH-NN";"";""
"NBH";"NRH-NN";"";""
"N 25F";"NRH-NN";"";""
"N 52D";"NRH-NN";"";""
"N  2P";"NRH-NN";"";""
"N  1N";"NRH-NN";"";""
"N  4G";"NRH-NN";"";""
"N  3F";"NRH-NN";"";""
"N 53A";"NRH-NN";"";""
"NDE";"NRH-NN";"";""
"N 23E";"NRH-NN";"";""
"N 22F";"NRH-NN";"";""
"N 25G";"NRH-NN";"";""
"N 74D";"NRH-NN";"";""
"N 24E";"NRH-NN";"";""
"N  1O";"NRH-NN";"";""
"N  2R";"NRH-NN";"";""
"N  3G";"NRH-NN";"";""
"N  4H";"NRH-NN";"";""
"NNT";"NRH-01-NN";"";""
"N 23K";"NRH-NN";"";""
"N 22L";"NRH-NN";"";""
"N 25H";"NRH-NN";"";""
"N 24F";"NRH-NN";"";""
"NPG";"NRH-NN";"";""
"N 27F";"NRH-NN";"";""
"N 26G";"NRH-NN";"";""
"N 29D";"NRH-NN";"";""
"N 28E";"NRH-NN";"";""
"N 31E";"NRH-NN";"";""
"N  2S";"NRH-NN";"";""
"N  1T";"NRH-NN";"";""
"N  4P";"NRH-NN";"";""
"NPOH";"NRH-2-NN";"";""
"N 23L";"NRH-NN";"";""
"N 22K";"NRH-NN";"";""
"N 25L";"NRH-NN";"";""
"N 24G";"NRH-NN";"";""
"NOB";"NRH-NN";"";""
"N 27E";"NRH-NN";"";""
"N 26I";"NRH-NN";"";""
"N  1U";"NRH-NN";"";""
"N 52C";"NRH-NN";"";""
"N  2T";"NRH-NN";"";""
"NBUT";"NRH-NN";"";""
"N  3H";"NRH-NN";"";""
"N 53E";"NRH-NN";"";""
"N  4O";"NRH-NN";"";""
"N  5D";"NRH-NN";"";""
"N  6E";"NRH-NN";"";""
"N  7B";"NRH-NN";"";""
"N  8A";"NRH-NN";"";""
"NMIM";"NRH-NN";"";""
"N  9E";"NRH-NN";"";""
"N 10G";"NRH-NN";"";""
"NOK";"NRH-3-NN";"";""
"N 23M";"NRH-NN";"";""
"N 22J";"NRH-NN";"";""
"N 25M";"NRH-NN";"";""
"N 24I";"NRH-NN";"";""
"NFTO";"NRH-NN";"";""
"NFT";"NRH-103-NRWD";"";""
"N 175";"NRH-NN";"";""
"N 174";"NRH-NN";"";""
"NRWD";"NFT-1-NNLW 10";"";""
"N654A";"NRWD-NNLW";"";""
"N655A";"NRWD-NNLW";"";""
"NFIN";"NRWD-NNLW";"";""
"N652A";"NRWD-NNLW";"";""
"N653A";"NRWD-NNLW";"";""
"NNLW";"NRWD-601-NNR A(5962-2)";"";""
"N202C";"NNLW-NNR A";"";""
"N203B";"NNLW-NNR A";"";""
"NNR A";"NNLW-307/742-NNR B";"";""
"NNR B";"NNR A(5950)-742-NHMA(5950)";"";""
"NHMA";"NNR B-722-NF";"";""
"N 710";"NHMA-NF";"";""
"N 709";"NHMA-NF";"";""
"NNGR";"NNR B-203-NF";"";""
"NF  G";"NHMA-12-NF Dwli";"";""
"NF";"NF  G-4-NWH";"";""
"N  1K";"NF-NWH";"";""
"N  2G";"NF-NWH";"";""
"N 401";"NF-NWH";"";""
"NFUF";"NF-NWH";"";""
"NFUA";"NF-402-NWH";"";""
"N  4E";"NF-NWH";"";""
"N  3D";"NF-NWH";"";""
"N  6C";"NF-NWH";"";""
"NFBB";"NF-513-NWH";"";""
"N  9C";"NF-NWH";"";""
"N 10D";"NF-NWH";"";""
"NSDF";"NF-1-NWH";"";""
"N 15B";"NF-NWH";"";""
"N 16B";"NF-NWH";"";""
"NPU";"NF-NWH";"";""
"N 19A";"NF-NWH";"";""
"N 18B";"NF-NWH";"";""
"N 21C";"NF-NWH";"";""
"N 20B";"NF-NWH";"";""
"NHBU";"NF-2-NWH";"";""
"N 27D";"NF-NWH";"";""
"N 26E";"NF-NWH";"";""
"NEK";"NF-2-NWH";"";""
"N 33B";"NF-NWH";"";""
"N 34C";"NF-NWH";"";""
"N 35B";"NF-NWH";"";""
"N 36B";"NF-NWH";"";""
"N 38C";"NF-NWH";"";""
"N 37C";"NF-NWH";"";""
"N 40C";"NF-NWH";"";""
"NNAM";"NF-NWH";"";""
"NNA";"NF-2-NWH";"";""
"N 47B";"NF-NWH";"";""
"N 48B";"NF-NWH";"";""
"N 49B";"NF-NWH";"";""
"N 50B";"NF-NWH";"";""
"NLD";"NF-102-NWH";"";""
"N 55B";"NF-NWH";"";""
"N 56C";"NF-NWH";"";""
"N 57A";"NF-NWH";"";""
"N 58A";"NF-NWH";"";""
"NMB";"NF-1-NWH";"";""
"N 67B";"NF-NWH";"";""
"N 68B";"NF-NWH";"";""
"NHZM";"NF-NWH";"";""
"N 71B";"NF-NWH";"";""
"N 72C";"NF-NWH";"";""
"N 73B";"NF-NWH";"";""
"N 74A";"NF-NWH";"";""
"NMEI";"NF-1-NWH";"";""
"NI";"NF-2-NWH";"";""
"NMM";"NF-601-NWH";"";""
"N  91";"NF-NWH";"";""
"N  92";"NF-NWH";"";""
"NKN";"NF-2-NWH";"";""
"N 100";"NF-NWH";"";""
"NBM";"NF-NWH";"";""
"N 151";"NF-NWH";"";""
"N101E";"NF-NWH";"";""
"N 152";"NF-NWH";"";""
"N102B";"NF-NWH";"";""
"N103C";"NF-NWH";"";""
"NDEB";"NF-1-NWH";"";""
"N 109";"NF-NWH";"";""
"N 110";"NF-NWH";"";""
"N 111";"NF-NWH";"";""
"N 112";"NF-NWH";"";""
"NRTD";"NF-5-NWH";"";""
"N117A";"NF-NWH";"";""
"N118A";"NF-NWH";"";""
"N 119";"NF-NWH";"";""
"N 120";"NF-NWH";"";""
"N121A";"NF-NWH";"";""
"N122A";"NF-NWH";"";""
"N 123";"NF-NWH";"";""
"N 124";"NF-NWH";"";""
"N 125";"NF-NWH";"";""
"N 126";"NF-NWH";"";""
"NWH";"NN-16-FFU 8";"";""
"N 848";"NWH-FFU";"";""
"N 898";"NWH-FFU";"";""
"NNB";"NWH-FFU";"";""
"NES";"NWH-FFU";"";""
"NHW";"NWH-FFU";"";""
"NRB";"NWH-3-FFU";"";""
"NMUB";"NWH-FFU";"";""
"NBNB";"NWH-403-NJS 10";"";""
"NBN";"NBNB-604-NJS";"";""
"N 441";"NGM-NJS";"";""
"N 41E";"NGM-NJS";"";""
"NMSN";"NGM-NJS";"";""
"N 42D";"NGM-NJS";"";""
"N442A";"NGM-NJS";"";""
"NOBS";"NGM-NJS";"";""
"NQJS";"NGM-NJS";"";""
"NJS";"NGM-1-FFU";"";""
"YFNJ";"NJS-FSTZ";"";""
"F039C";"NJS-FSTZ";"";""
"F036D";"NJS-FSTZ";"";""
"F034D";"NJS-FSTZ";"";""
"F037C";"NJS-FSTZ";"";""
"F035C";"NJS-FSTZ";"";""
"F032D";"NJS-FSTZ";"";""
"FSTZ";"NJS-1-FEL";"";""
"F033C";"FSTZ-FEL";"";""
"F030C";"FSTZ-FEL";"";""
"F028B";"FSTZ-FEL";"";""
"F031C";"FSTZ-FEL";"";""
"FEL";"FSTZ-3-FSUEZ";"";""
"FSUEZ";"FEL-FSUE";"";""
"FSUE";"FSUEZ-204-FSA";"";""
"F225A";"FSUE-FSA";"";""
"F224A";"FSUE-FSA";"";""
"F223B";"FSUE-FSA";"";""
"F222B";"FSUE-FSA";"";""
"FSA";"FSUE-103-FBSS";"";""
"F175A";"FSA-FBSS";"";""
"F176A";"FSA-FBSS";"";""
"F174A";"FSA-FBSS";"";""
"F173A";"FSA-FBSS";"";""
"F172A";"FSA-FBSS";"";""
"FBSS";"FSA-801-FWAE";"";""
"F787A";"FBSS-FWAE";"";""
"F786A";"FBSS-FWAE";"";""
"F785A";"FBSS-FWAE";"";""
"F784A";"FBSS-FWAE";"";""
"F783A";"FBSS-FWAE";"";""
"F782A";"FBSS-FWAE";"";""
"FWAE";"FBSS-701-FWIR";"";""
"F775A";"FWAE-FWIR";"";""
"F774A";"FWAE-FWIR";"";""
"F773A";"FWAE-FWIR";"";""
"F772A";"FWAE-FWIR";"";""
"FWIR";"FWAE-602-FGEL";"";""
"F597A";"FWIR-FGEL";"";""
"F595A";"FWIR-FGEL";"";""
"F594A";"FWIR-FGEL";"";""
"FHAI";"FWIR-FGEL";"";""
"F593B";"FWIR-FGEL";"";""
"F592B";"FWIR-FGEL";"";""
"F596A";"FWIR-FGEL";"";""
"FGEL";"FWIR-502-FHME";"";""
"FHME";"FGEL-303-FSLB";"";""
"F544A";"FHME-FSLB";"";""
"F543A";"FHME-FSLB";"";""
"F542A";"FHME-FSLB";"";""
"F541A";"FHME-FSLB";"";""
"FNMI";"FHME-FSLB";"";""
"F254B";"FHME-FSLB";"";""
"F253A";"FHME-FSLB";"";""
"F252A";"FHME-FSLB";"";""
"F251A";"FHME-FSLB";"";""
"FSLB";"FHME-202-FWFG-3677";"";""
"F286A";"FSLB-FWFG";"";""
"F285A";"FSLB-FWFG";"";""
"F282A";"FSLB-FWFG";"";""
"F281A";"FSLB-2-FWFG";"";""
"FROD";"FSLB-2-FWFG";"";""
"F278A";"FSLB-FWFG";"";""
"F277A";"FSLB-FWFG";"";""
"F274A";"FSLB-FWFG";"";""
"F273A";"FSLB-FWFG";"";""
"FWFG";"FSLB-603-FH_N-3677/3600";"";""
"FH  N";"FWFG-6-FH_M";"";""
"FH  M";"FH_N-FMHO";"";""
"F526B";"FH_M-FMHO";"";""
"F517B";"FH_M-FMHO";"";""
"F536A";"FH_M-FMHO";"";""
"F527B";"FH_M-FMHO";"";""
"FMHO";"FH_M-FO_G";"";""
"F576A";"FMHO-FO_G";"";""
"F567A";"FMHO-FO_G";"";""
"FO  G";"FMHO-17-FO";"";""
"FO";"FO_G-802-2-FFS-3664";"";""
"F206E";"FO-FFS";"";""
"F106A";"FO-FFS";"";""
"F205A";"FO-FFS";"";""
"F105F";"FO-FFS";"";""
"F204D";"FO-FFS";"";""
"F104B";"FO-FFS";"";""
"F203B";"FO-FFS";"";""
"F103G";"FO-FFS";"";""
"FFS";"FO-508-FFOR";"";""
"F065C";"FFS-FFOR";"";""
"F066C";"FFS-FFOR";"";""
"FFOR";"FFS-FSP";"";""
"FSP";"FFOR-504-FKCH-3650/3520";"";""
"F527A";"FSP-FKCH";"";""
"FSWF";"FSP-FKCH";"";""
"F525A";"FSP-FKCH";"";""
"F524A";"FSP-FKCH";"";""
"F523A";"FSP-FKCH";"";""
"F522A";"FSP-FKCH";"";""
"FKCH";"FSP-311-301-FRA";"";""
"F223A";"FKCH-FBRS";"";""
"F232A";"FKCH-FBRS";"";""
"FBRS";"FKCH-FMOW";"";""
"FRAC";"FRAC-FMOW";"";""
"FMOW";"FRAC-FRA";"";""
"FRA";"FRAC-1-FRUE";"";""
"FRUE";"FRA-1-FRUO";"";""
"FRUO";"FRUE-27-FMB_N";"";""
"FMB N";"RUO-2-FMB_P";"";""
"FMB P";"FMB_N-004-FMG-D3-3520";"";""
"FMG";"FMB_P-1-FMS-D2";"";""
"FQMS";"FMG-2-FMS";"";""
"FMS";"FMG-402-FMZ-3520-AMT";"";""
"FMZ";"FMS-3-263-53-FMZ_A-6-3520/3510-AMT";"";""
"FMZ A";"FMZ-53-133-FMM-3510";"";""
"FMM";"FMZ_A-602-FBUD";"";""
"F640A";"FMM-FBUD";"";""
"F639A";"FMM-FBUD";"";""
"FBUD";"FMM-801-FUR";"";""
"F840A";"FBUD-FUR";"";""
"F017B";"FBUD-FUR";"";""
"FUR";"FBUD-2-FIL";"";""
"F016A";"FUR-FIL";"";""
"F015A";"FUR-FIL";"";""
"FHEI";"FUR-2-FIL";"";""
"F014A";"FUR-FIL";"";""
"F013A";"FUR-FIL";"";""
"F012B";"FUR-FIL";"";""
"F011B";"FUR-FIL";"";""
"F010C";"FUR-FIL";"";""
"F009C";"FUR-FIL";"";""
"FIL";"FUR-3-FGAL";"";""
"FGAL";"FIL-4-FBGN";"";""
"F006A";"FGAL-FBGN";"";""
"F005A";"FGAL-FBGN";"";""
"F004B";"FGAL-FBGN";"";""
"F003B";"FGAL-FBGN";"";""
"FBGG";"FGAL-1-FBGN";"";""
"F002C";"FGAL-FBGN";"";""
"F001C";"FGAL-FBGN";"";""
"FBGN";"FGAL-302-FBGK-D2";"";""
"FBGK";"FBGN-102-2-FBGKV";"";""
"FBGKV";"FBGK-2-FNDH";"";""
"F480B";"FBGKV-FNDH";"";""
"F479B";"FBGKV-FNDH";"";""
"F478A";"FBGKV-FNDH";"";""
"FTRE";"FBGKV-2-FNDH";"";""
"F477A";"FBGKV-FNDH";"";""
"F476A";"FBGKV-FNDH";"";""
"F475A";"FBGKV-FNDH";"";""
"FNDH";"FBGKV-402-FBCH";"";""
"FBCH";"FNDH-2-FOBW";"";""
"F004A";"FBCH-FOBW";"";""
"F003A";"FBCH-FOBW";"";""
"F002B";"FBCH-FOBW";"";""
"F001B";"FBCH-FOBW";"";""
"FOBW";"FBCH-2-FURBS";"";""
"F026A";"FOBW-FURBS";"";""
"F025A";"FOBW-FURBS";"";""
"FURBS";"FOBW-2-FURBN";"";""
"FURBN";"FURBS-2-FSGO";"";""
"FSGO";"FURBN-201-FWER";"";""
"F018B";"FSGO-FWER";"";""
"FWER";"FSGO-301-KBOP";"";""
"F080A";"FWER-KBOP";"";""
"KHIR";"FWER-2-KBOP";"";""
"K079A";"FWER-KBOP";"";""
"K078A";"FWER-KBOP";"";""
"K077A";"FWER-KBOP";"";""
"K076A";"FWER-KBOP";"";""
"K074B";"FWER-KBOP";"";""
"K075A";"FWER-KBOP";"";""
"KSAL";"FWER-2-KBOP";"";""
"K072D";"FWER-KBOP";"";""
"K073B";"FWER-KBOP";"";""
"K070A";"FWER-KBOP";"";""
"K071D";"FWER-KBOP";"";""
"KBOP";"FWER-1-KRHE";"";""
"K168A";"KBOP-KRHE";"";""
"K068A";"KBOP-KRHE";"";""
"K069A";"KBOP-KRHE";"";""
"K169A";"KBOP-KRHE";"";""
"K166A";"KBOP-KRHE";"";""
"K066A";"KBOP-KRHE";"";""
"K167A";"KBOP-KRHE";"";""
"K067A";"KBOP-KRHE";"";""
"K164A";"KBOP-KRHE";"";""
"K064A";"KBOP-KRHE";"";""
"K065A";"KBOP-KRHE";"";""
"K165A";"KBOP-KRHE";"";""
"K162A";"KBOP-KRHE";"";""
"K062A";"KBOP-KRHE";"";""
"K063A";"KBOP-KRHE";"";""
"K163A";"KBOP-KRHE";"";""
"KSPA";"KBOP-1-KRHE";"";""
"K160A";"KBOP-KRHE";"";""
"K060A";"KBOP-KRHE";"";""
"K061A";"KBOP-KRHE";"";""
"K161A";"KBOP-KRHE";"";""
"KRHE";"KBOP-1-KKOB";"";""
"K154A";"KRHE-KKOB";"";""
"K054A";"KRHE-KKOB";"";""
"K055D";"KRHE-KKOB";"";""
"K155A";"KRHE-KKOB";"";""
"K152A";"KRHE-KKOB";"";""
"K052E";"KRHE-KKOB";"";""
"K053A";"KRHE-KKOB";"";""
"K153A";"KRHE-KKOB";"";""
"KKOB";"KRHE-202-KKO";"";""
"K002A";"KKOB-KKO";"";""
"K001A";"KKOB-KKO";"";""
"KKO";"KKOB-3-KKOL-2630";"";""
"KKSM";"KKO-2-KKOL";"";""
"KKOL";"KKO-1-KKOLM-2630";"";""
"KKOLM";"KKOL-1-KKOLN-2630";"";""
"KKOLN";"KKOLM-1-KKES-2630/3011";"";""
"KKOU";"KKOLN-KKES";"";""
"KKES";"KKOU-KRHB";"";""
"K973B";"KKES-KRHB";"";""
"K974B";"KKES-KRHB";"";""
"KURR";"KKES-2-KRHB";"";""
"KRHB";"KKES-KNE_G";"";""
"K977A";"KRHB-KNE_G";"";""
"K970B";"KRHB-KNE_G";"";""
"KNE G";"KRHB-82-KNE";"";""
"KNE";"KNE_G-002F/H1-KLET";"";""
"K434A";"KNE-KLET";"";""
"K433A";"KNE-KLET";"";""
"K432A";"KNE-KLET";"";""
"K431A";"KNE-KLET";"";""
"K430A";"KNE-KLET";"";""
"K429B";"KNE-KLET";"";""
"KLET";"KNE-3-KRBR";"";""
"K032F";"KLET-KRBR";"";""
"K031F";"KLET-KRBR";"";""
"K030G";"KLET-KRBR";"";""
"K029E";"KLET-KRBR";"";""
"K028F";"KLET-KRBR";"";""
"K027F";"KLET-KRBR";"";""
"K026E";"KLET-KRBR";"";""
"K025D";"KLET-KRBR";"";""
"KRBR";"KLET-1-KHGB";"";""
"KHGB";"KRBR-2-KLI";"";""
"K024D";"KHGB-KLI";"";""
"K023E";"KHGB-KLI";"";""
"K022F";"KHGB-KLI";"";""
"K021D";"KHGB-KLI";"";""
"K120A";"KHGB-KLI";"";""
"KLEU";"KHGB-KLI";"";""
"K119A";"KHGB-KLI";"";""
"K118C";"KHGB-KLI";"";""
"K117C";"KHGB-KLI";"";""
"KLI";"KHGB-2-KUN";"";""
