"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"W5284";"WGRB-WKWA";"";""
"W5294";"WGRB-WKWA";"";""
"W5285";"WGRB-WKWA";"";""
"W5282";"WGRB-WKWA";"";""
"W5283";"WGRB-WKWA";"";""
"WQKW";"WGRB-WKWA";"";""
"WKWA";"WGRB-2-WKT";"";""
"W5290";"WKWA-WKT";"";""
"W5291";"WKWA -WKT";"";""
"W5288";"WKWA-WKT";"";""
"W5295";"WKWA-WKT";"";""
"W5289";"WKWA-WKT";"";""
"W5286";"WKWA-WKT";"";""
"W5287";"WKWA-WKT";"";""
"W5184";"WKWA-WKT";"";""
"W5194";"WKWA-WKT";"";""
"W5185";"WKWA-WKT";"";""
"W5182";"WKWA-WKT";"";""
"W5183";"WKWA-WKT";"";""
"WKT";"WKWA-02-WDN";"";""
"W5190";"WKT-WDN";"";""
"W5191";"WKT-WDN";"";""
"W5195";"WKT-WDN";"";""
"W5188";"WKT-WDN";"";""
"W5187";"WKT-WDN";"";""
"W3786";"WKT-WDN";"";""
"W3794";"WKT-WDN";"";""
"W3785";"WKT-WDN";"";""
"W3782";"WKT-WDN";"";""
"W3783";"WKT-WDN";"";""
"WDN";"WKT-2-WW";"";""
"W3788";"WDN-WW";"";""
"W3791";"WDN-WW";"";""
"W3795";"WDN-WW";"";""
"W3784";"WDN-WW";"";""
"W3787";"WDN-WW";"";""
"W3780";"WDN-WW N";"";""
"W3796";"WDN-WW";"";""
"W3779";"WDN-WW";"";""
"W3776";"WDN-WW";"";""
"W3775";"WDN-WW";"";""
"WW  N";"WDN-42-WW";"";""
"WW";"WW N-2-WWIL";"";""
"W3094";"WW-WWIL";"";""
"W3095";"WW-WWIL";"";""
"W3092";"WW-WWIL";"";""
"W3090";"WW-WWIL";"";""
"W3091";"WW-WWIL";"";""
"W3674";"WW-WWIL";"";""
"W3675";"WW-WWIL";"";""
"W3694";"WW-WWIL";"";""
"W3672";"WW-WWIL";"";""
"W3673";"WW-WWIL";"";""
"WWIL";"WW-2-WGF";"";""
"W3684";"WWIL-WGF";"";""
"W3585";"WWIL-WGF";"";""
"W3595";"WWIL-WGF";"";""
"W3582";"WWIL-WGF";"";""
"W3592";"WWIL-WGF";"";""
"W3583";"WWIL-WGF";"";""
"WGF";"WWIL-2-WBDN";"";""
"W3586";"WGF-WBDN";"";""
"W3495";"WGF-WBDN";"";""
"W3484";"WGF-WBDN";"";""
"W3485";"WGF-WBDN";"";""
"W3492";"WGF-WBDN";"";""
"W3482";"WGF-WBDN";"";""
"W3483";"WGF-WBDN";"";""
"WBDN";"WGF-2-WNS";"";""
"W3488";"WBDN-WNS";"";""
"W3489";"WBDN-WNS";"";""
"W3486";"WBDN-WNS";"";""
"W3496";"WBDN-WNS";"";""
"W3487";"WBDN-WNS";"";""
"W3396";"WBDN-WNS";"";""
"W3387";"WBDN-WNS";"";""
"W3389";"WBDN-WNS";"";""
"W3385";"WBDN-WNS";"";""
"W3390";"WBDN-WNS";"";""
"WNS";"WBDN-2-WFRK";"";""
"WNS G";"WBDN-2-WFRK";"";""
"W3386";"WNS-WFRK";"";""
"W3381";"WNS-WFRK";"";""
"W3382";"WNS-WFRK";"";""
"W3384";"WNS-WFRK";"";""
"W3293";"WNS-WFRK";"";""
"W3291";"WNS-WFRK";"";""
"W3290";"WNS-WFRK";"";""
"W3289";"WNS-WFRK";"";""
"WFRK";"WNS-2-WPAU";"";""
"W3286";"WFRK-WPAU";"";""
"W3285";"WFRK-WPAU";"";""
"W3284";"WFRK-WPAU";"";""
"W3282";"WFRK-WPAU";"";""
"W3197";"WFRK-WPAU";"";""
"W3195";"WFRK-WPAU";"";""
"W3194";"WFRK-WPAU";"";""
"W3193";"WFRK-WPAU";"";""
"WPAU";"WFRK-2-BNAU";"";""
"W3190";"WPAU-BNAU";"";""
"W3189";"WPAU-BNAU";"";""
"W3188";"WNS-BNAU";"";""
"W3186";"WNS-BNAU";"";""
"W3187";"WNS-BNAU";"";""
"W3185";"WNS-BNAU";"";""
"B7430";"WNS-BNAU";"";""
"B7445";"WNS-BNAU";"";""
"B7443";"WNS-BNAU";"";""
"BNAU";"WNS-34-BBRI";"";""
"B7422";"BNAU-BBRI";"";""
"B7419";"BNAU-BBRI";"";""
"B7420";"BNAU-BBRI";"";""
"B7418";"BNAU-BBRI";"";""
"B7417";"BNAU-BBRI";"";""
"B7416";"BNAU-BBRI";"";""
"B7415";"BNAU-BBRI";"";""
"B7314";"BNAU-BBRI";"";""
"B7313";"BNAU-BBRI";"";""
"BBRI";"BNAU-34-BFIN";"";""
"BAFI";"BBRI-BFIN";"";""
"B7254";"BAFI-BFIN";"";""
"BFIN";"BAFI-BFKS";"";""
"B7253";"BFIN-BFKS";"";""
"B7252";"BFIN-BFKS";"";""
"B7251";"BFIN-BFKS";"";""
"BFKS";"BFIN-124-BAS";"";""
"B7148";"BFKS-BAS";"";""
"BSFD";"BFKS-BAS";"";""
"B7146";"BFKS-BAS";"";""
"B7145";"BFKS-BAS";"";""
"BQAS";"BFKS-BAS";"";""
"BAS";"BFKS-BSPD";"";""
"B7144";"BFKS-BSPD";"";""
"B7143";"BFKS-BSPD";"";""
"B8734";"BFKS-BSPD";"";""
"B8733";"BFKS-BSPD";"";""
"B8731";"BFKS-BSPD";"";""
"BSPDW";"BAS-735-715-BSPD";"";""
"BSPD";"BSPDW-7152-BSPDM";"";""
"BSPDM";"BSPD-5552-BSPDO";"";""
"BSPDO";"BSPD-555-S-BWD";"";""
"BWD";"BSPDO-522/1502-BMOA";"";""
"B8407";"BWD-BMOA";"";""
"B8405";"BWD-BMOA";"";""
"B8406";"BWD-BMOA";"";""
"B8408";"BWD-BMOA";"";""
"BJUF";"BWD-502-BMOA";"";""
"BMOA";"BWD-502/333/363-BGS";"";""
"BMOAO";"BMOA-393-BWDG";"";""
"BWDG";"BMOA-393-BGS";"";""
"BGS";"BWDG-140-BSHA";"";""
"BSHA";"BGS-160/303-BGFB";"";""
"BGFB";"BBOF-303-4-BFAL";"";""
"BFAL";"BGFB-BLO G";"";""
"BLO G";"BFAL-BRGB";"";""
"BRGBW";"BLO G-BRGBB";"";""
"BRGBB";"BRGBW-654-BOG";"";""
"BRGBO";"BRGBB-654-BOG";"";""
"BKH";"BRGBO-BOG";"";""
"BOG";"BRGBO-BSST";"";""
"BSST";"BOG-BKP";"";""
"BKP";"BSST-6-BFRH";"";""
"BFHG";"BKP-BRD";"";""
"BRDF";"BFRH-BERK";"";""
"B6109";"BFRH-BERK";"";""
"B6110";"BFRH-BERK";"";""
"B6211";"BFRH-BERK";"";""
"BQER";"BKP-BERK";"";""
"BERK";"BKP-1-BFS";"";""
"B6213";"BERK-BFS";"";""
"B6263";"BERK-BFS";"";""
"B6214";"BERK-BFS";"";""
"B6303";"BERK-BFS";"";""
"B6302";"BERK-BFS";"";""
"B6304";"BERK-BFS";"";""
"BFS";"BERK-1-BHGB";"";""
"B6305";"BFS-BHGB";"";""
"B6306";"BFS-BHGB";"";""
"B6307";"BFS-BHGB";"";""
"B6308";"BFS-BHGB";"";""
"B6409";"BFS-BHGB";"";""
"B6410";"BFS-BHGB";"";""
"B6411";"BFS-BHGB";"";""
"B6412";"BFS-BHGB";"";""
"B6413";"BFS-BHGB";"";""
"B6414";"BFS-BHGB";"";""
"BHGB";"BFS-BFUW";"";""
"B6415";"BHGB-BFUW";"";""
"B6416";"BHGB-BFUW";"";""
"B6417";"BHGB-BFUW";"";""
"B6418";"BHGB-BFUW";"";""
"B6419";"BHGB-BFUW";"";""
"B6420";"BHGB-BFUW";"";""
"B6521";"BHGB-BFUW";"";""
"B6522";"BHGB-BFUW";"";""
"B6523";"BHGB-BFUW";"";""
"B6524";"BHGB-BFUW";"";""
"BFUW";"BHGB-1-BBKR";"";""
"B6525";"BFUW-BBKR";"";""
"B6526";"BFUW-BBKR";"";""
"B6527";"BFUW-BBKR";"";""
"B6728";"BFUW-BBKR";"";""
"B6729";"BFUW-BBKR";"";""
"B6730";"BFUW-BBKR";"";""
"BBKR";"BFUW-1-BBSN";"";""
"B6731";"BBKR-BBSN";"";""
"B6732";"BBKR-BBSN";"";""
"B6733";"BBKR-BBSN";"";""
"B6734";"BBKR-BBSN";"";""
"B6735";"BBKR-BBSN";"";""
"B6836";"BBKR-BBSN";"";""
"B6837";"BBKR-BBSN";"";""
"B6838";"BBKR-BBSN";"";""
"B6839";"BBKR-BBSN";"";""
"B6840";"BBKR-BBSN";"";""
"BBSN";"BBKR-1-BPIL";"";""
"B6841";"BBKR-BPIL";"";""
"B6842";"BBKR-BPIL";"";""
"B6843";"BBKR-BPIL";"";""
"B6844";"BBKR-BPIL";"";""
"B6945";"BBKR-BPIL";"";""
"BJF";"BBSN-BPIL";"";""
"B6946";"BBSN-BPIL";"";""
"B6947";"BBSN-BPIL";"";""
"B6948";"BBSN-BPIL";"";""
"BPIL";"BBSN-1-BFRS";"";""
"B6949";"BPIL-BFP";"";""
"B6950";"BPIL-BFP";"";""
"B7051";"BPIL-BFP";"";""
"B7052";"BPIL-BFP";"";""
"B7053";"BPIL-BFP";"";""
"B7054";"BPIL-BFP";"";""
"BFRS";"BPIL-BFP";"";""
"B7055";"BPIL-BFP";"";""
"B7056";"BPIL-BFP";"";""
"B7057";"BPIL-BFP";"";""
"B7058";"BPIL-BFP";"";""
"B7059";"BPIL-BFP";"";""
"B7060";"BPIL-BFP";"";""
"BFP";"BPIL-415-BODK";"";""
"BODK";"BFP-4-BXF";"";""
"BQOD";"BODK-XPKU";"";""
"BXF";"BODK-XPKU Gz";"";""
