"RIL100";"DurchfahrtFahrweg";"AnkunftFahrweg";"AbfahrtFahrweg"
"H14LR";"HM-HWUN";"";""
"H13RL";"HM-HWUN";"";""
"H12LR";"HM-HWUN";"";""
"H11RL";"HM-HWUN";"";""
"HRER";"HM-102-HWUN";"";""
"H07HR";"HM-HWUN";"";""
"HHAS";"HM-2-HWUN";"";""
"H04HW";"HM-HWUN";"";""
"H05WH";"HM-HWUN";"";""
"H102H";"HM-HWUN";"";""
"H02HW";"HM-HWUN";"";""
"H103H";"HM-HWUN";"";""
"H03WH";"HM-HWUN";"";""
"H01WH";"HM-HWUN";"";""
"HWUN";"HHAS-8-HH";"";""
"H48WD";"HWUN-HS";"";""
"H47DW";"HWUN-HS";"";""
"H46WD";"HWUN-HS";"";""
"H45SD";"HWUN-HS";"";""
"HDED";"HWUN-HH";"";""
"H44DS";"HWUN-HH";"";""
"H42DS";"HWUN-HH";"";""
"H43SD";"HWUN-HH";"";""
"HSR W";"HWUN(1700-2)-HS(7601)";"";""
"HS";"HGUE(7601)-4-HH(1700-2)";"";""
"H438S";"HWUN-HH";"";""
"H439L";"HWUN-HH";"";""
"HLTA";"HWUN-HH";"";""
"H433L";"HLTA-HH";"";""
"H432H";"HLTA-HH";"";""
"HBUG";"HWUN-HH(1710)";"";""
"HH";"HBUG(1710)-447/13C-HLER(1730)";"";""
"HH  P";"HH(1730-1)-154C-HLER(1730)";"";""
"H611H";"HH-HLER";"";""
"H612H";"HH-HLER";"";""
"HKWA";"HH(1730)-HLER(1734)";"";""
"H623K";"HH-HLERW";"";""
"HAMI";"HH-HLERW";"";""
"H622L";"HH-HLERW";"";""
"HHT";"HH-HALT";"";""
"HALT";"HH-HLERW";"";""
"HLERW";"HH(S)-302-HLER";"";""
"HLER";"HLERW-11-HBS";"";""
"HRAT";"HLER-HP";"";""
"H884H";"HLER-HP";"";""
"H883H";"HLER-HP";"";""
"HHAE";"HLER-801-HBS";"";""
"H888V";"HLER-HP";"";""
"H889V";"HLER-HP";"";""
"H902P";"HLER-HP";"";""
"H904P";"HLER-HP";"";""
"HVOE";"HLER-HP";"";""
"H907V";"HLER-HP";"";""
"H905V";"HLER-HP";"";""
"H908P";"HLER-HP";"";""
"H909P";"HLER-HP";"";""
"HP";"HLER-102-HGGL";"";""
"HP  G";"HP-HGGL";"";""
"H927W";"HP-HGGL";"";""
"H940V";"HP-HGGL";"";""
"H928V";"HP-HGGL";"";""
"H929P";"HP-HGGL";"";""
"H941P";"HP-HGGL";"";""
"H930V";"HP-HGGL";"";""
"H942V";"HP-HGGL";"";""
"H943P";"HP-HGGL";"";""
"H931P";"HP-HGGL";"";""
"H932V";"HP-HGGL";"";""
"H933V";"HP-HGGL";"";""
"HVEC";"HLER-232-HBS";"";""
"H401W";"HP-HGGL";"";""
"H402G";"HP-HGGL";"";""
"HGGL";"HLER-2-HBS";"";""
"HGGLO";"HGGL-2-HBS";"";""
"H2801";"HGGL-HBS";"";""
"H2812";"HGGL-HBS";"";""
"H2814";"HGGL-HBS";"";""
"HGAA";"HGGL-1730-HBS";"";""
"H2807";"HGGL-HBS";"";""
"H2818";"HGGL-HBS";"";""
"H2820";"HGGL-HBS";"";""
"HBS";"HGGLO-307-HSMK H2";"";""
"HSMK";"HBS-HBUH";"";""
"HBUH";"HSMK-HWED";"";""
"H3316";"HBUH-HWED";"";""
"HWED";"HBUH-HWEA";"";""
"HWEA";"HBUH-HHML";"";""
"HSDL";"HWEA-3-HHLM";"";""
"H211K";"HSDL-HKOL";"";""
"H210S";"HSDL-HKOL";"";""
"H213K";"HSDL-HKOL";"";""
"H212S";"HSDL-HKOL";"";""
"HKOL";"HWEA-1-HHLM";"";""
"H231F";"HKOL-HFST";"";""
"H230K";"HKOL-HFST";"";""
"H233F";"HKOL-HFST";"";""
"H232K";"HKOL-HFST";"";""
"HFST";"HWEA-201-HHLM";"";""
"H240F";"HFST-HHLM";"";""
"H241H";"HFST-HHLM";"";""
"H242F";"HFST-HHLM";"";""
"H243H";"HFST-HHLM";"";""
"H244F";"HFST-HHLM";"";""
"HHLM";"HBS-2-LM";"";""
"YLHBL";"HHLM-LHBK";"";""
"LQHB";"HHLM-LEI";"";""
"LHBK";"HHLM-LEI";"";""
"L4528";"HHLM-LEI";"";""
"L4518";"HHLM-LEI";"";""
"L4427";"HHLM-LEI";"";""
"L4417";"HHLM-LEI";"";""
"LMBN";"HHLM-2-LEI";"";""
"LWF";"HHLM-2-LEI";"";""
"LEI";"HHLM-72/32-LMS";"";""
"LEI G";"LEI-72/32-LMS";"";""
"LOV";"LEI-LMS";"";""
"L4215";"LEI-LMS";"";""
"L4225";"LEI-LMS";"";""
"L4126";"LEI-LMS";"";""
"L4116";"LEI-LMS";"";""
"LDD";"LEI-2-LMS";"";""
"LOL";"LEI-LMS";"";""
"LWL";"LEI-LMS";"";""
"LNR";"LEI-2-LMS";"";""
"L3922";"LEI-LMS";"";""
"L3912";"LEI-LMS";"";""
"L3911";"LEI-LMS";"";""
"L3921";"LEI-LMS";"";""
"LMS";"LEI-3802-LM(72)";"";""
"LM";"LEI(72)-6-LBZ";"";""
"LMN";"LM(6110)-3-LBZ";"";""
"LBRC";"LM-LBZ";"";""
"L3222";"LM-LBZ";"";""
"L3220";"LM-LBZ";"";""
"LMHR";"LM-LBZ";"";""
"L3223";"LM-LBZ";"";""
"L3225";"LM-LBZ";"";""
"L3226";"LM-LBZ";"";""
"L3224";"LM-LBZ";"";""
"L3227";"LM-LBZ";"";""
"L3229";"LM-LBZ";"";""
"LBZ";"LM-2-LGN (nicht Bz 7)";"";""
"LGWS";"LBZ-2802-LGN";"";""
"L2976";"LBZ-LGN";"";""
"L2974";"LBZ-LGN";"";""
"L2975";"LBZ-LGN";"";""
"L2973";"LBZ-LGN";"";""
"LMOS";"LBZ-2702-LGN";"";""
"L2964";"LBZ-LGN";"";""
"L2962";"LBZ-LGN";"";""
"L2963";"LBZ-LGN";"";""
"L2961";"LBZ-LGN";"";""
"LBU";"LBZ-2602-LGN";"";""
"L2956";"LBZ-LGN";"";""
"L2954";"LBZ-LGN";"";""
"L2952";"LBZ-LGN";"";""
"L2950";"LBZ-LGN";"";""
"L2951";"LBZ-LGN";"";""
"L2949";"LBZ-LGN";"";""
"L2944";"LBZ-LGN";"";""
"L2942";"LBZ-LGN";"";""
"L2943";"LBZ-LGN";"";""
"L2941";"LBZ-LGN";"";""
"L2939";"LBZ-LGN";"";""
"L2937";"LBZ-LGN";"";""
"LGSN";"LBZ-2502-LGN";"";""
"L2936";"LBZ-LGN";"";""
"L2934";"LBZ-LGN";"";""
"L2935";"LBZ-LGN";"";""
"L2933";"LBZ-LGN";"";""
"L2932";"LBZ-LGN";"";""
"L2930";"LBZ-LGN";"";""
"L2927";"LBZ-LGN";"";""
"L2925";"LBZ-LGN";"";""
"L2924";"LBZ-LGN";"";""
"L2922";"LBZ-LGN";"";""
"L2923";"LBZ-LGN";"";""
"L2921";"LBZ-LGN";"";""
"LGN";"LBZ-2202-LB";"";""
"L2916";"LBZ-LB";"";""
"L2914";"LBZ-LB";"";""
"L2915";"LBZ-LB";"";""
"L2913";"LBZ-LB";"";""
"L2908";"LBZ-LB";"";""
"L2906";"LBZ-LB";"";""
"L2907";"LBZ-LB";"";""
"L2905";"LBZ-LB";"";""
"LKE";"LBZ-LB";"";""
"LQWU";"LBZ-LB";"";""
"L2904";"LBZ-LB";"";""
"L2902";"LBZ-LB";"";""
"L2903";"LBZ-LB";"";""
"L2901";"LBZ-LB";"";""
"LWUZ";"LBZ-1802-LB H1802";"";""
"LKIM";"LBZ-1702-LB H2";"";""
"L1952";"LBZ-LB";"";""
"L1950";"LBZ-LB";"";""
"L1951";"LBZ-LB";"";""
"L1949";"LBZ-LB";"";""
"L1948";"LBZ-LB";"";""
"L1946";"LBZ-LB";"";""
"L1947";"LBZ-LB";"";""
"L1945";"LBZ-LB";"";""
"L1944";"LBZ-LB";"";""
"L1942";"LBZ-LB";"";""
"L1943";"LBZ-LB";"";""
"L1941";"LBZ-LB";"";""
"L1940";"LBZ-LB";"";""
"L1938";"LBZ-LB";"";""
"L1937";"LGN-LB";"";""
"L1939";"LBZ-LB";"";""
"LB";"LBZ-1202-BWE(1102)";"";""
"LB  G";"LBZ(1202)-1102-BWE";"";""
"L1936";"LB-BWE";"";""
"L1934";"LB-BWE";"";""
"L1932";"LB-BWE";"";""
"L1930";"LB-BWE";"";""
"L1931";"LB-BWE";"";""
"L1929";"LB-BWE";"";""
"L1924";"LB-BWE";"";""
"L1922";"LB-BWE";"";""
"L1923";"LB-BWE";"";""
"L1921";"LB-BWE";"";""
"L1920";"LB-BWE";"";""
"L1918";"LB-BWE";"";""
"L1919";"LB-BWE";"";""
"L1917";"LB-BWE";"";""
"LGOE";"LB-BWE";"";""
"L1915";"LB-BWE";"";""
"L1913";"LB-BWE";"";""
"LGZ";"LB-1502-BWE";"";""
"L1908";"LB-BWE";"";""
"L1906";"LB-BWE";"";""
"L1907";"LB-BWE";"";""
"L1905";"LB-BWE";"";""
"L1902";"LB-BWE";"";""
"L1904";"LB-BWE";"";""
"L 943";"LB-BWE";"";""
"L 941";"LB-BWE";"";""
"YBLWG";"LB-BWE";"";""
"BWE";"LGZ-732-BAWP";"";""
"BAWP";"BWE-BNES";"";""
"B7324";"BAWP-BNES";"";""
"B7317";"BAWP-BNES";"";""
"B7319";"BAWP-BNES";"";""
"B7326";"BAWP-BNES";"";""
"BNES";"BAWP-BSAM";"";""
"B7713";"BNES-BSAM";"";""
"B7722";"BNES-BSAM";"";""
"BSAM";"BNES-1-BGH";"";""
"B7813";"BSAM-BGH";"";""
"B7822";"BSAM-BGH";"";""
"B7815";"BSAM-BGH";"";""
"B7824";"BSAM-BGH";"";""
"BSTH";"BSAM-BGH";"";""
"BGH";"BSAM-11-BGH";"";""
"BGH M";"BGH-11-BGHO";"";""
"BGHO";"BGH-BAG W";"";""
"B1083";"BGHO-BDDF";"";""
"B2083";"BGHO-BDDF";"";""
"B2086";"BGHO-BDDF";"";""
"B1086";"BGHO-BDDF";"";""
"B1087";"BGHO-BDDF";"";""
"B2087";"BGHO-BDDF";"";""
"B2088";"BGHO-BDDF";"";""
"B1088";"BGHO-BDDF";"";""
"B1089";"BGHO-BDDF";"";""
"B2089";"BGHO-BDDF";"";""
"B2090";"BGHO-BDDF";"";""
"B1090";"BGHO-BDDF";"";""
"BDDF";"BGH-1-BAG W";"";""
"BAG W";"BDDF-051/041-BAG O";"";""
"BAG O";"BAG W-041-BFHS-T";"";""
"B2123";"BAG O-BASC";"";""
"BASC";"BAG O-BFHS";"";""
"B2124";"BASC-BFHS";"";""
"B1125";"BASC-BFHS";"";""
"B2125";"BASC-BFHS";"";""
"B1127";"BASC-BFHS";"";""
"B2127";"BASC-BFHS";"";""
"B1126";"BASC-BFHS";"";""
"B2126";"BASC-BFHS";"";""
"B1129";"BAG O-T-BFHS";"";""
"B2129";"BAG O-T-BFHS";"";""
"B1128";"BAG O-T-BFHS";"";""
"B2128";"BAG O-T-BFHS";"";""
"B1130";"BAG O-T-BFHS";"";""
"B2130";"BAG O-T-BFHS";"";""
"BFHS";"BAG O-1/1/5-BGK S";"";""
"B5187";"BFHS-BGK S";"";""
"BQFH";"BFHS-BGK S";"";""
"B1187";"BFHS-BGK S";"";""
"B5189";"BFHS-BGK S";"";""
"B1189";"BFHS-BGK S";"";""
"B5188";"BFHS-BGK S";"";""
"B1188";"BFHS-BGK S";"";""
"B5190";"BFHS-BGK S";"";""
"B1190";"BFHS-BGK S";"";""
"BGK S";"BFHS-BGK N";"";""
"BGK N";"BFHS-BEG";"";""
"B8811";"BGK N-BEG";"";""
"B8821";"BGK N-BEG";"";""
"B8822";"BGK N-BEG";"";""
"B8812";"BGK N-BEG";"";""
"BWDH";"BGK N-BEG";"";""
"BEG";"BGK N-1-BSST";"";""
"BSST";"BEG-BKP";"";""
"BKP";"BSST-6-BFRH";"";""
"BFHG";"BKP-BRD";"";""
"BRDF";"BFRH-BERK";"";""
"B6109";"BFRH-BERK";"";""
"B6110";"BFRH-BERK";"";""
"B6211";"BFRH-BERK";"";""
"BQER";"BKP-BERK";"";""
"BERK";"BKP-1-BFS";"";""
"B6213";"BERK-BFS";"";""
"B6263";"BERK-BFS";"";""
"B6214";"BERK-BFS";"";""
"B6303";"BERK-BFS";"";""
"B6302";"BERK-BFS";"";""
"B6304";"BERK-BFS";"";""
"BFS";"BERK-1-BHGB";"";""
"B6305";"BFS-BHGB";"";""
"B6306";"BFS-BHGB";"";""
"B6307";"BFS-BHGB";"";""
"B6308";"BFS-BHGB";"";""
"B6409";"BFS-BHGB";"";""
"B6410";"BFS-BHGB";"";""
"B6411";"BFS-BHGB";"";""
"B6412";"BFS-BHGB";"";""
"B6413";"BFS-BHGB";"";""
"B6414";"BFS-BHGB";"";""
"BHGB";"BFS-BFUW";"";""
"B6415";"BHGB-BFUW";"";""
"B6416";"BHGB-BFUW";"";""
"B6417";"BHGB-BFUW";"";""
"B6418";"BHGB-BFUW";"";""
"B6419";"BHGB-BFUW";"";""
"B6420";"BHGB-BFUW";"";""
"B6521";"BHGB-BFUW";"";""
"B6522";"BHGB-BFUW";"";""
"B6523";"BHGB-BFUW";"";""
"B6524";"BHGB-BFUW";"";""
"BFUW";"BHGB-1-BBKR";"";""
"B6525";"BFUW-BBKR";"";""
"B6526";"BFUW-BBKR";"";""
"B6527";"BFUW-BBKR";"";""
"B6728";"BFUW-BBKR";"";""
"B6729";"BFUW-BBKR";"";""
"B6730";"BFUW-BBKR";"";""
"BBKR";"BFUW-1-BBSN";"";""
"B6731";"BBKR-BBSN";"";""
"B6732";"BBKR-BBSN";"";""
"B6733";"BBKR-BBSN";"";""
"B6734";"BBKR-BBSN";"";""
"B6735";"BBKR-BBSN";"";""
"B6836";"BBKR-BBSN";"";""
"B6837";"BBKR-BBSN";"";""
"B6838";"BBKR-BBSN";"";""
"B6839";"BBKR-BBSN";"";""
"B6840";"BBKR-BBSN";"";""
"BBSN";"BBKR-1-BPIL";"";""
"B6841";"BBKR-BPIL";"";""
"B6842";"BBKR-BPIL";"";""
"B6843";"BBKR-BPIL";"";""
"B6844";"BBKR-BPIL";"";""
"B6945";"BBKR-BPIL";"";""
"BJF";"BBSN-BPIL";"";""
"B6946";"BBSN-BPIL";"";""
"B6947";"BBSN-BPIL";"";""
"B6948";"BBSN-BPIL";"";""
"BPIL";"BBSN-1-BFRS";"";""
"B6949";"BPIL-BFP";"";""
"B6950";"BPIL-BFP";"";""
"B7051";"BPIL-BFP";"";""
"B7052";"BPIL-BFP";"";""
"B7053";"BPIL-BFP";"";""
"B7054";"BPIL-BFP";"";""
"BFRS";"BPIL-BFP";"";""
"B7055";"BPIL-BFP";"";""
"B7056";"BPIL-BFP";"";""
"B7057";"BPIL-BFP";"";""
"B7058";"BPIL-BFP";"";""
"B7059";"BPIL-BFP";"";""
"B7060";"BPIL-BFP";"";""
"BFP";"BPIL-415-BODK";"";""
"BODK";"BFP-4-BXF";"";""
"BQOD";"BODK-XPKU";"";""
"BXF";"BODK-XPKU Gz";"";""
